,SA2,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
536,201011001,36768,38604,39326,42024,43672,49967,51670,52993,54625,56374,57747,60026,62315,63668
537,201011002,36495,38269,38960,41616,43323,57063,61177,63669,65507,67217,72754,71895,74671,77876
538,201011003,36910,38758,39424,42222,43918,46159,48947,50872,52024,53017,54660,56067,59786,60367
539,201011004,35005,36484,37339,39713,40968,40180,41918,43625,44722,45473,46143,47676,49041,50778
540,201011005,38861,39919,40464,43132,45539,51017,53538,55675,56765,58011,58292,60009,61565,63258
541,201011006,31588,32640,34074,35549,36101,40802,43298,45581,46312,48356,49260,50741,52199,54845
542,201011007,31262,32787,35425,36688,36384,44262,45270,47339,49268,50299,52010,54314,56172,59735
543,201011008,33373,34704,35914,36989,38227,39939,41696,43593,44267,45558,47310,47545,49104,50404
544,201021009,36401,36976,39087,40873,42980,47061,50218,51399,52574,54168,55485,57510,66628,61565
545,201021010,31552,33258,34646,38207,37011,40476,43597,44973,45298,45965,48087,50497,51504,52233
546,201021011,31163,32399,33303,35453,36977,41096,42418,43007,44634,45981,46610,49000,50440,52044
547,201021012,35038,36404,37776,39645,40338,44957,45825,48620,49888,52710,54516,56551,57960,60424
548,201031013,28481,29091,29975,30795,31530,32721,33238,34430,36570,39755,39128,41427,43798,46335
549,201031014,28914,29322,31996,32817,33782,36015,37839,37320,39510,41927,48944,45355,48542,49835
550,201031015,32036,33400,36292,36981,37014,39489,41814,43143,43803,45756,46709,48035,50394,52792
551,201031016,28545,29889,30363,31594,32034,36414,38101,39191,39450,40456,40883,42843,44231,45694
552,201031017,27249,28012,28360,28927,29186,33132,35649,36984,38189,38491,38558,40632,42490,44469
553,202011018,35593,37050,37155,39934,41646,44658,48021,49764,50960,52505,54347,55161,56944,59825
554,202011019,30099,31001,32101,34432,35405,37866,40336,41954,42756,43641,44850,45857,47779,49687
555,202011020,35592,37051,37161,39941,41649,47145,48835,51149,52387,54023,54515,55551,57894,60577
556,202011021,35592,37051,37158,39934,41649,44607,47467,49304,49064,51326,52722,53538,54870,57804
557,202011022,31737,33073,33553,35340,36355,39900,41968,43556,44458,46420,47181,48010,49833,51787
558,202011023,35855,37372,38553,41119,43371,46813,49457,51118,52207,54248,55423,56980,59251,60381
559,202011024,35867,37389,38582,41128,43398,51630,54394,57426,59180,61396,61390,62078,64329,66427
560,202011025,35752,37249,38094,40728,42853,43379,45791,47664,48548,50258,50746,51739,54304,56161
561,202021026,34135,36098,37165,39558,40958,47006,48891,49889,52418,54184,55570,57423,59455,60617
562,202021027,32230,34680,33881,35458,36760,40507,42126,43743,44849,45496,46478,48000,50841,52122
563,202021028,30519,32201,32439,34371,35755,39474,41137,42789,41706,43825,45274,48156,50249,51341
564,202021029,29969,30948,32145,33160,33979,37132,39319,40284,43281,44158,45047,46460,49637,52295
565,202021030,35758,38014,37939,41468,41092,46185,47268,48726,51634,51692,53300,56114,58009,60982
566,202021031,41104,43742,53531,48689,50960,56196,57842,60277,60928,63361,66263,68669,70793,73993
567,202031032,30504,30897,33712,34907,35610,40426,42158,44589,46148,49373,47205,50124,53186,53995
568,202031033,25519,26330,31121,27635,27521,33691,35570,39514,40013,40470,37386,43214,48536,49541
569,203011034,39120,41060,41898,43003,44476,49296,52564,53210,55113,55921,57412,59879,61746,64568
570,203011035,34930,36405,38310,38629,38529,43416,46344,47437,49454,50917,52873,54335,56477,58864
571,203011036,35034,37523,39231,40507,41228,46830,48483,49429,48701,51989,52879,54167,59172,62699
572,203021037,37424,39412,39614,42418,43877,44663,46221,48340,49792,49872,50759,51750,53674,56271
573,203021038,33060,34270,35343,36996,37816,40029,41552,42902,44191,44757,45572,46401,47323,48364
574,203021039,41839,44247,44621,47591,48528,53269,55308,56807,58455,61519,61780,63406,64680,67478
575,203021040,37623,39295,40048,42796,44381,48254,51040,53671,54610,56556,58308,60422,63102,65809
576,203021041,37423,39414,39614,42415,43877,44258,46767,48517,49425,50590,51567,53685,55567,57797
577,203021042,37526,39503,39905,42521,43925,61312,57021,59167,59660,62643,63056,64334,66089,69712
578,203021043,39809,42023,42704,45128,46843,50714,53609,55388,55624,56586,57985,60326,62036,63783
579,203021044,37353,37840,39478,41534,42218,45652,48272,49507,51019,52249,51721,53080,55093,56566
580,203021045,34655,36249,37298,39600,40290,40704,42384,43982,44950,45101,46082,47208,48159,50279
581,203021046,48623,51972,51750,55117,56512,65621,69703,69854,73628,76709,77266,79885,83648,85349
582,203021047,36676,37894,38240,40671,42836,45835,47804,48746,50618,52090,53699,55081,56636,59181
583,203031048,35886,37548,38211,39200,40636,43973,46171,47491,49036,49945,51334,56091,55036,55927
584,203031049,35153,37456,35748,38374,39035,42977,45995,46380,48628,49990,51308,54970,56809,58666
585,203031050,38085,40751,40756,43450,45409,50642,52785,54335,56976,58667,60270,62732,64215,66856
586,203031051,32299,34878,34920,35588,37263,40318,41979,44031,45238,47862,47632,49270,51822,53904
587,203031052,38336,41308,42063,45238,44451,49921,53193,55084,57043,56436,57128,56949,60224,62490
588,203031053,39889,42580,43070,46598,48553,53894,56781,57901,61020,63363,64149,64721,68034,71515
589,204011054,30221,30872,30859,32536,34250,38660,38781,38557,39171,41922,44044,45642,46205,48414
590,204011055,29054,28368,29826,31240,32400,36325,37901,38598,40612,42047,41192,43582,45870,46405
591,204011056,37077,38342,39230,40767,42145,46273,48076,50285,50762,52538,53586,55063,56871,59376
592,204011057,31757,30933,32231,32556,34042,38055,39051,39684,40695,42809,44328,47336,46772,49203
593,204011058,31336,33256,34275,35210,36783,40262,42017,43060,44905,47006,48331,50523,53483,56206
594,204011059,32439,33180,34972,37249,37752,41911,43619,44543,45874,45849,47073,48148,49885,51936
595,204011060,33452,35500,35329,38523,37779,46713,52530,49786,52533,53614,51078,55077,56193,58016
596,204011061,30712,32457,33275,35354,37173,32187,34209,35060,36649,37733,40418,40517,43071,45296
597,204011062,32826,33605,33940,34706,36065,38424,40221,40928,41724,44052,44684,45806,47070,49593
598,204021063,32052,33056,33427,36254,37160,40730,41734,43334,44302,45087,46545,47384,48684,50343
599,204021064,29073,28030,30247,31469,30928,36029,38082,38811,41059,41925,42566,43965,45396,46121
600,204021065,34880,35323,36666,37288,38827,43245,43670,45759,48054,50096,50197,50130,51788,53196
601,204021066,33134,34027,34553,37123,37674,41431,43536,45614,47226,48519,49352,51228,53216,54321
602,204021067,31814,31346,32569,34002,34823,38225,40225,41188,44686,46680,46567,46917,48495,50364
603,204031068,32983,34473,33765,35781,36705,42766,43344,43885,46172,48342,49679,49669,50023,51861
604,204031069,30380,32243,32797,34280,34586,36289,38178,39083,41666,43101,43429,44688,46724,48316
605,204031070,34396,35737,36477,38615,40278,44630,45175,46104,47467,49668,49832,50525,52982,53354
606,204031071,31007,31994,32134,34450,34546,38090,39138,40908,42256,44530,44838,45776,47691,49515
607,204031072,31003,30077,33975,34085,33983,40644,42750,41416,44243,46558,48292,47641,47150,50034
608,204031073,35983,37250,38080,40081,41385,45951,46606,48194,50906,52505,53465,53907,54887,57813
609,204031074,36145,37402,38497,40402,41676,44050,46987,48694,50410,51957,52449,53331,54529,56835
610,204031075,36549,37900,39681,40821,41749,46258,48253,48787,50222,52287,52727,54067,54936,57183
611,205011076,33009,33837,35536,36727,36799,41781,43397,43959,45975,47272,48051,49765,51698,53202
612,205011077,33530,35007,36286,37156,38259,44176,45464,45050,49289,50250,50019,50080,50686,52722
613,205011078,35417,36892,39515,40468,41177,47204,49429,49663,52033,53577,53125,53296,54698,57124
614,205011079,36331,38121,38542,40764,41639,46449,48585,49059,50933,52661,53105,54477,56425,58776
615,205021081,31956,33740,34361,35816,36591,41383,43072,44563,45576,47291,47799,47567,48731,50622
616,205021082,29660,31211,32064,33665,34834,36463,38459,40142,41359,43572,43560,45059,44548,44542
617,205021084,29668,31565,32888,34012,34946,38704,39567,40582,42802,43031,43737,44002,44329,46725
618,205021085,29350,30710,31889,32975,33553,37399,38380,38720,41697,42653,42313,45332,42589,43739
619,205021086,32167,33842,31617,34187,34994,37928,39731,41478,42348,42954,43640,45451,45800,47931
620,205031087,30593,30021,33599,33449,32199,39151,39660,37098,42784,44116,45396,44847,44045,47090
621,205031088,22613,22203,24317,22677,24585,26091,25761,22575,20473,22726,32979,27364,32022,21230
622,205031089,32304,31857,34911,35235,35429,41104,42395,41076,44788,45565,45760,47026,49538,49777
623,205031090,32623,33815,36248,36431,36597,43200,44547,43732,47549,48935,48679,49073,50610,53338
624,205031091,30926,33508,31692,33528,35646,39488,41203,40773,41917,42839,44175,45021,46341,48136
626,205031093,30707,31653,32291,33641,35620,41558,42933,40933,42411,44644,44740,45522,47392,49340
627,205041094,36618,38877,39995,41252,42355,50859,52920,54495,56746,58823,59033,59803,59177,60667
628,205041095,35200,36782,38284,40137,41630,46590,48380,50006,51882,52751,54157,53941,54040,56148
629,205041096,36127,38099,39331,40726,41754,44134,45699,47128,48380,50347,50309,50457,49917,50880
630,205041097,40809,43719,45358,47159,48344,54436,56592,59021,59735,62001,63479,62237,64109,66226
631,205041098,38933,41188,43582,44601,46416,53284,55251,58339,60210,62368,62311,62655,62653,64814
632,205051099,34443,33788,36308,35930,37435,28239,21836,18343,29169,26421,21788,30856,27804,33603
633,205051100,33240,34317,37004,38328,39700,46122,48516,50421,54142,57032,53852,55479,53400,55265
634,205051101,35032,35173,37412,37955,38238,44224,47039,47223,49793,52160,51220,51056,52197,53970
635,205051102,35278,34820,38834,37439,38513,44836,47644,44057,49586,52819,50816,48697,50211,49545
636,205051103,37524,38911,40222,43328,45036,50131,53076,55468,57487,59059,59544,58241,59498,62291
637,205051104,32446,31620,35994,34097,33978,40271,43052,43208,55079,54112,45827,44023,45840,48524
638,206011105,39847,41837,43541,46842,48107,52100,55600,57142,57814,60483,62220,63199,66873,68893
639,206011106,41300,43506,44791,47653,50107,55119,56729,58966,58886,61348,62429,64629,67534,70497
640,206011107,40077,42234,43932,46840,47687,52931,54723,56811,58040,60111,62038,62166,65111,70209
641,206011108,37704,39522,41133,43715,44709,49437,52155,54078,55109,57617,59523,61246,63488,66384
642,206011109,39756,42352,43388,46033,47627,52991,56047,58224,59553,62311,64988,66374,68803,72770
643,206021110,48508,51504,55602,58396,59914,63409,69140,68272,70623,72015,75345,76516,79356,84148
644,206021111,45049,48018,49199,53376,55498,60901,63804,65625,67212,70216,72087,75052,78691,82863
645,206021112,39073,41080,43923,45818,49555,53212,56189,57675,60048,60951,63037,65088,68016,71753
646,206031113,44879,47196,48951,51455,53536,61537,64141,66592,70171,71349,74690,76378,77927,80680
647,206031114,48832,51681,53282,56151,58967,65736,68576,71609,71885,74175,75208,77349,80759,82310
648,206031115,45445,48254,50072,52727,54027,53202,56232,57459,58532,60336,60826,61354,64204,67156
649,206031116,49472,52983,55038,58573,59861,65275,68691,71215,72264,74951,77508,78083,80195,81817
650,206041117,41363,43551,42956,46255,46594,50158,52772,55741,58137,57510,57023,56237,57176,59791
651,206041118,56900,62884,64625,64491,64633,69732,73182,71884,72349,72972,74153,68978,69260,71476
652,206041119,80524,87975,79947,90831,95349,105396,107768,104960,116888,114762,122960,124057,128069,132130
653,206041120,45443,48926,50412,53555,54137,55712,62218,71078,73763,79307,74294,75526,61137,63637
654,206041121,45569,48483,50314,53008,54147,63012,65024,67157,67891,69149,71707,73885,77638,81061
655,206041122,51052,53449,50094,50978,57408,56465,54738,54176,57011,53183,53292,51261,51528,52476
656,206041123,43585,45320,47056,50320,51960,54967,56228,57669,59378,60656,62713,62117,65142,66723
657,206041124,52708,54333,51256,53899,56616,64303,63964,69002,66053,67371,69759,67230,66765,72420
658,206041125,71733,77763,74770,82608,81303,109471,102855,106727,127605,122899,125079,125363,135941,134432
659,206041126,54551,61427,62827,67588,64954,76885,71516,73232,74154,73998,75285,72915,73634,75071
660,206051128,76832,83996,80569,88033,91871,101191,105550,107915,112261,111338,115049,115981,117352,120412
661,206051129,56211,60163,62655,65094,67563,74196,77845,78251,81065,82347,85843,86143,88876,92171
662,206051130,66623,70915,72021,75295,79347,85293,87824,93019,95573,97221,97667,101555,107132,107727
663,206051131,71994,66438,73262,73366,78334,90766,86036,95756,83268,132566,224340,116157,87256,70348
664,206051132,61242,67480,65682,70876,71064,82798,88106,87449,87266,89607,93443,91651,94718,94237
665,206051133,53841,57318,57188,60912,61456,63720,65742,66453,69260,70022,72672,70774,75745,77755
666,206051134,47410,50761,50709,53498,55450,56503,59557,60990,62108,64847,66049,66865,71332,73537
667,206061135,75018,80385,76913,82507,89534,92214,95768,99631,106695,109684,113429,112884,107488,111629
668,206061136,54564,59583,58920,61706,62905,68847,69781,72231,72739,76455,73899,78362,83932,88528
669,206061137,72142,79219,76794,83749,81799,85017,82858,83613,90398,92141,93430,86909,92513,94748
670,206061138,121175,136444,130117,133180,132252,149052,148362,146406,161878,164156,168104,175696,177645,188906
671,206071139,45910,50173,50188,53880,55691,59621,63043,65938,63884,65878,69588,72002,75384,78181
672,206071140,53352,58034,55585,58552,60978,67919,71065,73098,76703,80015,79372,80741,82747,88807
673,206071141,43297,45341,47256,51058,53727,57944,61109,62028,64475,64144,67310,69726,73036,77705
674,206071142,49069,53575,53384,57904,58172,62772,66487,70405,72296,72607,76425,80755,83189,86036
675,206071143,54852,57887,57899,60829,62813,67362,71647,73041,76502,78388,80634,83788,87614,93200
676,206071144,51711,55747,57287,60828,61869,68504,71718,73467,77062,78977,81317,83132,85193,87699
677,206071145,53081,56114,57305,60193,62047,74313,76471,79710,80797,83429,85217,87736,94560,99558
678,207011146,48174,50730,51726,54347,56389,67845,72098,76336,81790,83774,87828,92036,93355,96229
679,207011147,62844,66683,65032,67718,70429,77115,81028,82777,87150,87289,86646,85026,86736,88497
680,207011148,52726,56578,55142,59199,61414,67979,69737,71711,72756,75666,76077,79274,79364,82641
681,207011149,65088,70792,69091,74221,76302,85242,87150,90295,94918,97213,96748,96292,97237,101491
682,207011150,62088,65792,67064,71093,73405,80271,84499,87597,90923,92364,95526,97748,98877,102153
683,207011151,70914,75520,73979,78766,80851,89721,95184,96673,99132,98938,102144,97905,99465,104364
684,207011152,67873,72102,70049,74985,76118,82058,85026,89435,90165,92283,94956,94680,94263,96461
685,207011153,74148,81490,80136,83812,86430,94041,97256,100950,103845,103505,106035,108682,108907,112542
686,207011154,56326,60061,59835,63209,65518,71894,74386,76520,82586,83706,84910,87263,89125,92805
687,207011155,74976,80342,78400,81099,82897,91519,98718,96629,105272,105527,111065,110484,115344,112088
688,207021156,42045,43994,44435,47298,49098,53339,55099,57460,58040,61456,62589,62169,63983,65889
689,207021157,41702,44080,42356,45380,45703,50406,51572,52619,53499,55545,57895,57534,59361,59387
691,207021159,53909,59063,56709,58833,60392,66783,69905,71111,72672,73443,73686,74005,75928,80019
692,207021160,42500,45189,43920,46662,47539,51892,53977,56291,57906,59467,61035,62193,62627,65252
693,207031161,43488,45894,45841,48258,49788,55687,58672,60949,62466,63711,65382,66107,68474,71176
694,207031162,43491,45897,45837,48263,49784,50743,53310,56287,57535,59152,60600,60483,61704,64623
695,207031163,40574,42663,42316,44491,47658,50170,52535,54283,55332,55951,56502,53861,53975,55498
696,207031164,42781,44817,45175,47848,49815,53736,56240,57688,59763,61082,62143,62894,64453,66473
697,207031165,42446,44940,48950,46109,46815,49034,50544,52698,53421,53726,53645,53303,53470,54445
698,207031166,37601,38993,39248,40658,41134,44338,46745,49250,49256,50618,51931,51966,53465,54272
699,207031167,59753,63450,63282,67180,68972,76486,75737,78736,82193,83760,84284,86366,87699,90542
700,208011168,60294,63561,62090,65854,67848,74735,77676,80358,84379,87199,89193,90674,92062,95080
701,208011169,87854,97619,92762,97052,101776,113694,116749,118592,126031,126939,128527,128678,136482,137864
702,208011170,59584,64385,63697,67061,70118,75248,80894,82818,85995,90497,92593,95730,100390,102102
703,208011171,42144,45501,47163,49245,50902,57901,60771,63763,66158,67765,70478,72159,75767,78867
704,208011172,58626,63271,63557,68632,70728,79817,81481,84517,88632,91060,94258,95772,100880,103087
705,208011173,62651,67199,67686,71204,72899,82277,84671,87245,90711,91972,93302,96801,100966,103258
706,208021174,45563,48100,49566,51739,53734,59589,61828,66383,68627,69346,70899,72884,74073,77352
708,208021176,41968,44297,45110,47552,49142,54260,56431,59517,61256,62798,64244,65090,66873,68783
709,208021177,56892,61971,61754,63762,67943,74208,79252,81708,86392,89898,90900,93254,92598,96525
710,208021178,53248,58866,56279,60205,62969,67414,69808,71423,74687,75945,79822,80622,82784,85610
711,208021179,53727,57435,60540,61868,64472,71716,75791,77546,83299,84113,85428,89585,90346,91653
712,208021180,38742,40941,42376,44692,45590,52157,55469,56837,59027,61188,63361,64894,66808,68106
713,208021181,41967,44303,45107,47556,49147,56234,59056,61585,62636,64524,66211,67878,69958,71876
714,208021182,44030,46466,47695,49954,51799,53317,57070,58519,60836,63522,65292,66702,68150,73355
715,208031183,41868,44785,46671,48945,51063,51968,55078,57510,59481,60693,61470,63551,64877,67290
716,208031184,42663,47389,46241,47110,51464,79658,75205,85136,79921,89884,75365,73973,88033,79890
717,208031185,44994,47721,48615,51438,52566,58059,59292,60892,60312,63178,64371,65850,68945,70124
718,208031186,37593,39774,41653,44563,45761,49784,51686,53625,54938,57138,59615,61711,65349,66780
719,208031187,37592,39776,41653,44560,45764,46104,47880,50700,52422,53030,55104,55673,58104,60259
720,208031188,40197,43139,44193,46283,47179,49734,51900,54121,56079,57620,59713,62833,64774,66835
721,208031189,39934,42525,44422,46971,48701,54433,56328,58121,61504,63263,65331,67797,71182,74348
722,208031190,44320,46799,46952,49730,51038,55353,57505,59735,61707,63452,65598,66945,68079,72211
723,208031191,40677,43062,44509,46767,48351,52906,54596,56218,57775,59224,61236,62469,64276,67816
724,208031193,41863,44783,46673,48948,51061,56333,58286,61092,63310,65706,68029,69800,73482,75133
725,208041194,73616,80842,79465,82983,85344,92796,96937,98413,104655,107213,110207,108873,114118,119392
726,208041195,62936,66017,66349,69478,72103,81621,82678,86103,88953,92445,92240,94521,98625,101673
727,209011196,35610,36782,38291,40853,41344,45570,47332,48925,50038,50596,52573,53355,56074,57562
728,209011197,41364,43010,44223,46738,48343,52354,54124,55862,57505,59493,61861,63308,65342,68139
729,209011198,47520,51013,50382,53973,56660,56197,58573,60831,62707,64512,65733,64034,71117,75052
730,209011199,34845,36686,37680,39562,40398,44118,46532,48158,49242,50688,52693,54413,56266,58067
731,209011200,55825,63024,59870,63447,66867,70765,70792,74458,75535,81418,81344,83451,88705,91080
732,209011201,51646,57011,55144,58759,61739,85855,88559,89719,94634,99064,101104,105028,109674,111558
733,209011202,43437,45840,46586,49784,51693,56240,59762,61082,61855,64249,64583,68612,70820,74701
734,209011203,44054,46699,47302,50239,52749,51784,54837,56794,57897,59526,61468,63094,64718,67142
735,209011204,37779,39764,40759,43532,45227,48852,51748,53839,55158,57137,58456,60045,61633,64366
736,209021205,37181,38536,40111,42657,43570,51358,52646,54756,55228,56239,57615,56804,56812,57677
