SA2_name,Mar 2021 Median,% rental price Growth in 5 years,% income Growth in 5 years,% population Growth in 5 years,num_property
Abbotsford,450.0,-0.0049732215596678,0.1233857258141052,-0.1043126232688383,35
Albert Park,500.0,0.077725958900273,0.0226879718367343,0.0776821841213593,17
Alfredton,350.0,0.0702529869227498,0.0939466736888165,0.4924082851188386,17
Alphington - Fairfield,410.0,0.0632162577606475,0.1028464080878018,0.013429329973669999,38
Altona,400.0,0.0410275902770141,0.2029849328628515,0.0586155109147345,37
Armadale,450.0,-0.048451584168759,0.0447416156864932,0.0697267714079708,28
Ascot Vale,410.0,0.0088295026264361,0.1045064077936617,0.024693881995469,46
Ashburton (Vic.),450.0,0.0570145365230586,0.1180335545615783,0.0302931832265409,12
Ashwood - Chadstone,445.0,0.0322609075251515,0.0962214710425372,0.1036385575671079,18
Bairnsdale,320.0,0.0728544060315592,0.0583375740221747,0.1047680159291002,4
Ballarat - South,320.0,0.057713132667491,0.1009175216363943,0.0442240963838873,9
Balwyn,550.0,0.0351944779743829,0.0074151481654692,0.0381430070091221,29
Bayswater,390.0,0.0476066378456106,0.0694494480593644,0.0543518202691585,5
Beaumaris,585.0,0.0062760531212222,0.0713101930552211,0.0632628938487221,10
Belmont,395.0,0.0682749831179126,0.0826257394623436,0.0329289061592186,22
Benalla,320.0,0.1662646132511884,0.0701805388671671,0.0141013309396222,30
Bendigo,336.6666666666667,0.06424360624990683,0.1124615219173391,-0.0037597083147866664,94
Bentleigh - McKinnon,490.0,0.0654498245099049,0.0892743067618006,0.0833820995069958,38
Berwick - North,400.0,0.0179779981995318,0.0553790317544961,0.0089855896723764,44
Blackburn,420.0,0.0117163298557286,0.0827737693845983,0.036029148089544,23
Box Hill,400.0,0.1131719143277696,0.0088187293151741,0.2528067935597015,74
Brighton (Vic.),670.0,0.0229357238858766,0.0590127406093346,-0.0097857492217151,81
Brighton East,695.0,0.0335889525168658,0.1378538139579753,0.0257704754504694,39
Broadmeadows,370.0,0.0110984240119398,0.0550207973391168,-0.0210431472318878,16
Brunswick,450.0,0.0576219492972877,0.1113414606009269,0.0764524302724466,104
Bulleen,480.0,0.0373655723939524,0.0667120891629628,0.0028319475175148,21
Bundoora - West,400.0,0.009224344698962,0.0425102626485433,-0.0011620902119915,55
Buninyong,350.0,0.0342200855950552,0.0388470736581923,0.0560914830107201,2
Burwood,450.0,0.0570145365230586,0.0300978223031591,0.062972574349795,59
Burwood East,450.0,0.0558924050723591,0.0558265502049133,0.0157544803974451,21
Camberwell,480.0,0.0298066102564628,0.0306048585651416,-0.0609579744776494,60
Carlton,350.0,0.1730444015414974,0.0128609002807706,0.0422771665846474,123
Carlton North - Princes Hill,580.0,0.0716162577190251,0.1036332327749763,0.0065236772233886,41
Carnegie,410.0,0.054965150045738,0.0735860871127807,0.0927646568921374,49
Carrum - Patterson Lakes,450.0,0.090900376581193,0.0861517707957672,0.0339134222070978,8
Carrum Downs,380.0,0.0704882349095981,0.1365578548567765,0.0600327966274842,8
Castlemaine,350.0,0.0840318230421413,0.1063085802027719,0.078764226580197,1
Caulfield - South,425.0,0.0106758445727092,0.1018722674778546,0.051354277814162,19
Chelsea - Bonbeach,450.0,0.090900376581193,0.1775850041044575,0.068984554987564,4
Cheltenham - Highett (East),460.0,0.0237861081594613,0.1915347815420288,0.1309717839533051,43
Clayton,400.0,0.0176057128360876,-0.0080474373767899,0.2391527143626468,60
Coburg,460.0,0.0283512235371257,0.14152154607924,0.0284326002537848,60
Coburg North,410.0,0.0185245313784533,0.2077088986418718,0.1519794760317597,18
Collingwood,450.0,-0.0049732215596678,0.1802463135036765,0.1741583164775677,37
Corio - Norlane,300.0,0.1278119079299504,0.0645483962134447,-0.0094346548426253,13
Cranbourne,395.0,0.0525594997436195,0.0587283586348548,0.027230588310996,23
Dandenong,350.0,0.0542877776199351,0.1354988281450996,-0.0393011320439335,116
Dandenong North,360.0,0.0368717019755113,0.1016270991511362,0.0090350655194133,18
Deer Park - Derrimut,350.0,0.0155292150537211,0.0726165004557409,-0.0340028087521439,26
Delacombe,320.0,0.057713132667491,0.128732389495439,0.3892386998088736,3
Docklands,420.0,-0.0439493560767964,0.0064367993618007,0.6477950714284545,222
Doncaster,480.0,0.0373655723939524,0.0550262854810522,0.0975663549826383,43
Donvale - Park Orchards,480.0,0.0692559146822433,0.0449731406575152,0.0073415403376954,9
Dromana,420.0,0.1141684877549516,0.1453943488978031,0.2762308223193012,8
East Melbourne,450.0,0.0236664689459806,0.0892453182935962,0.0044489440068909,64
Echuca,355.0,0.1418668362506601,0.091941594107403,0.0135526080499609,18
Edithvale - Aspendale,450.0,0.090900376581193,0.1699296215982422,0.0747948259728399,8
Elsternwick,450.0,0.0211903869849166,0.1118123031705257,0.0795397556218252,31
Eltham,465.0,0.0642077407497552,0.1085717687782996,-0.0058419586840839,7
Elwood,425.0,0.0082074120730825,0.078147012002647,0.0027285128134441,68
Essendon - Aberfeldie,400.0,0.0126961183178242,0.0687383299490496,-0.0295878836480332,55
Fawkner,395.0,0.0193424892687826,0.1038465727944043,0.0332042493638743,20
Fitzroy,540.0,0.034499071076994,0.1619126380868195,0.0482114555417546,48
Fitzroy North,530.0,0.0329230788806601,0.2280069439227135,0.049635819281278,56
Flemington,420.0,0.0013838527999235,0.0785783783024507,-0.0139693973609735,27
Flinders,420.0,0.1060378316591319,0.1256783096782493,-0.0047492676221676,2
Flora Hill - Spring Gully,330.0,0.0382579487418397,0.0902305021548297,0.005153747295826,3
Footscray,370.0,0.0535665018400982,0.1623594166465476,0.0729171408140343,115
Forest Hill,450.0,0.0558924050723591,0.1001695366880944,0.0681261113131365,17
Frankston,375.0,0.0705904520451727,0.1455988671304859,0.0387513241739574,53
Geelong,360.0,0.026914607176324,0.0921362245922513,0.0629219201661782,23
Geelong West - Hamlyn Heights,365.0,0.0506009451980269,0.1507621125092683,0.08453422258510465,34
Gladstone Park - Westmeadows,390.0,0.0398586791861918,0.1049576478419274,-0.0149632930441717,3
Glen Waverley - East,480.0,0.0541978095143075,0.0289948804405654,0.0590004152942507,43
Golden Plains - North,400.0,0.1160558411702024,0.1043164110142167,0.0494484326079821,22
Greensborough,400.0,0.009224344698962,0.134723304659319,-0.0101978298567407,19
Grovedale,395.0,0.0682749831179126,0.1347689047472246,0.7562350854419813,15
Hamilton (Vic.),280.0,0.032962900286996,0.0575312204995157,0.0087533959171397,9
Hampton,585.0,0.0062760531212222,0.1222452412844561,0.029911795756806,21
Hampton Park - Lynbrook,380.0,0.0329001914857918,0.0851713487702995,0.0499063562913837,8
Hastings - Somers,420.0,0.1060378316591319,0.1136836424686359,0.0732961989670977,9
Hawthorn,390.0,0.0161121339653625,0.0109843559341997,0.0128290795738767,97
Heidelberg - Rosanna,415.0,0.035806714685289,0.0292067449198405,0.1147729355770648,15
Heidelberg West,415.0,0.035806714685289,0.1353738456015198,0.0774982838927538,7
Hoppers Crossing - North,365.0,0.0486092795977655,0.0637054194622215,-0.0073767950565581,18
Horsham,290.0,0.0814984728017718,0.1189334885072933,0.0135653164576896,72
Hughesdale,410.0,0.0568664962733603,0.1034927748743201,0.00548108842797,22
Hurstbridge,400.0,0.009224344698962,0.1382077820816242,0.0040533137114444,1
Ivanhoe,465.0,0.0429585705882954,0.1719862315602595,0.0933353074205084,31
Ivanhoe East - Eaglemont,465.0,0.0429585705882954,0.0831931236203674,0.0043401704828292,1
Kangaroo Flat - Golden Square,330.0,0.0584757276031221,0.1100817973637111,0.05810170286385765,13
Keilor,410.0,0.059758106682500096,0.0825966451749026,-0.01369202586032155,14
Keilor East,410.0,0.0490078978196436,0.1333952493318909,-0.02116196926913,16
Kensington (Vic.),420.0,0.0013838527999235,0.1165266424590442,0.0398773871129459,44
Kew,495.0,0.0365930048471131,0.0489103474767915,-0.0012910857421761,59
Knoxfield - Scoresby,450.0,0.0723848651805995,0.1117426570930404,0.064495336817097,3
Lalor,360.0,0.0309177296518789,0.1137204825365672,-0.1233046288714221,18
Lara,400.0,0.1348291304259087,0.0739038037547012,0.2134252550095549,18
Lilydale - Coldstream,420.0,0.0474568537445219,0.1861898335792095,0.0405964617165422,7
Maffra,320.0,0.0430444266522535,0.0633599298359206,0.0411273499295705,1
Malvern - Glen Iris,465.0,0.030939051803382,0.1056485332796792,0.0273647523795599,81
Malvern East,420.0,0.0148350408124375,0.0916303149973519,0.0543801807595612,54
Melton,350.0,0.1058442952273519,0.0693886583187229,0.0319556916126739,15
Mentone,435.0,0.0784426834355582,0.1210484871759595,0.0253893075353123,18
Mill Park - North,380.0,-0.0138347906137707,0.0847580839046648,0.008901880725921,9
Mitcham (Vic.),420.0,0.0262217813034237,0.0704282268954722,0.0573682505416889,15
Moe - Newborough,250.0,0.0756399178472306,0.0456011675447792,-0.0057290819627792994,11
Montmorency - Briar Hill,465.0,0.0642077407497552,0.1393554126162556,0.0206390322124687,4
Moonee Ponds,410.0,0.0088295026264361,0.0769464795571225,0.0870538282133616,49
Mordialloc - Parkdale,435.0,0.0784426834355582,0.1511083114179994,0.0446983908043911,21
Mornington,520.0,0.1321709748996032,0.1332780364164913,0.0714793169925621,20
Morwell,240.0,0.109696240340396,0.0221533670936576,0.0027179272931495,31
Mount Waverley - South,490.0,0.0743954922618593,0.0856965998634109,0.0875031860637715,36
Mulgrave,480.0,0.0541978095143075,0.0601870313383408,-0.0019535157965006,17
Murrumbeena,410.0,0.0568664962733603,0.0759164414559016,0.0153342966391447,19
Newport,495.0,0.1049757987511839,0.1431372975670503,0.07319898644518749,40
Newtown (Vic.),400.0,0.1160558411702024,0.1043164110142167,0.0494484326079821,22
North Geelong - Bell Park,360.0,0.0703418474841159,0.1149580518261222,0.0738950260377461,3
North Melbourne,395.0,0.0068573790622223,0.0617947628138395,0.3149781135891727,80
Northcote,500.0,0.0275913976400379,0.1684904097202557,0.0456649859095741,80
Nunawading,420.0,0.0262217813034237,0.0856668921639801,0.0797896671213344,10
Oakleigh - Huntingdale,445.0,0.0322609075251515,0.1213460368556047,0.0538994081167532,18
Ocean Grove - Barwon Heads,450.0,0.0459792026823325,0.1173436999834766,0.3908320580260097,12
Pakenham - South,360.0,0.0143430217486081,0.075286279384423,0.1430384394448239,22
Parkville,350.0,0.1730444015414974,-0.0119701857687929,0.0354168223101541,28
Pascoe Vale,402.5,0.018933510323617952,0.1328811703899755,0.1298430330895586,42
Pascoe Vale South,460.0,0.0283512235371257,0.1553084642165789,0.0717933728759162,15
Point Nepean,420.0,0.1141684877549516,0.1200268792545709,0.1700806451063443,3
Port Melbourne Industrial,575.0,0.0429466350833458,0.4539351636205128,599.293950609401,50
Portland,320.0,0.0330767044587358,0.0648867988624971,0.0261791269957249,10
Prahran - Windsor,425.0,-0.0135083639945827,0.2256461646633193,0.015548750617477548,118
Reservoir - East,380.0,0.0381127911242085,0.1043250742067122,0.0754238077965829,75
Richmond (Vic.),480.0,0.0191850067975814,0.1004116696000147,0.1064370744712015,156
Ringwood,410.0,0.0559452795408465,0.1120718122430204,0.0510259169133713,16
Rowville - Central,460.0,0.0510191553083703,0.0744803104842596,0.000308696450471,8
Roxburgh Park - Somerton,370.0,0.0110984240119398,0.0560941162730301,0.0841403378384118,9
Sale,320.0,0.0430444266522535,0.0415767394778264,0.0220519611580393,14
Seaford (Vic.),380.0,0.0704882349095981,0.1540760509561933,0.0059421571402362,16
Seddon - Kingsville,480.0,0.0862200985911941,0.1161826710647563,-0.0098778777040041,20
Seymour,300.0,0.2380438825915677,0.0745708887248995,0.0001187596774113,8
Shepparton - South,300.0,0.0761236766277867,0.0977029451502829,0.0831879964171044,60
South Melbourne,425.0,-0.0101469785102644,0.0195834582308032,0.10808010228860504,216
South Yarra - East,420.0,0.0118199181653752,-0.0124723110313893,0.2972795707086371,162
Springvale,390.0,0.0351542169215752,0.071218804592083,0.0925879485819113,22
St Albans - North,350.0,0.0155292150537211,0.0527947763689089,0.0856439636790647,58
St Kilda,395.0,-0.0016189415271924,0.0969959969283121,0.1297031179537299,115
Sunbury - South,380.0,0.0836813421510223,0.0996257512498482,0.1242504365757349,19
Sunshine,350.0,0.0521388213311684,0.1150083535908963,-0.0320290035457466,12
Surrey Hills (East) - Mont Albert,495.0,0.0179296250895366,0.0625408149643365,0.0193970451798246,15
Surrey Hills (West) - Canterbury,495.0,0.0179296250895366,0.0685732134383071,0.01312709199827405,38
Swan Hill,298.0,0.0843636967297995,0.0606575476004005,0.0339063492203154,7
Sydenham,400.0,0.0460316950716722,0.0888108336448499,0.0235800053079743,4
Templestowe,480.0,0.0373655723939524,0.0428800830837629,-0.0050339385765756,16
Thomastown,360.0,0.0309177296518789,0.1025932673925967,0.0005859965020589,24
Thornbury,410.0,0.0957740765919645,0.1879244450453953,-0.0207031695121112,42
Toorak,515.0,0.0402509456782497,0.2037617324009155,-0.0027098519321915,47
Torquay,520.0,0.1529488945524991,0.099504163174758,0.256099336464697,13
Traralgon,330.0,0.0329847566875936,0.0540593411234017,0.0385294469298357,19
Tullamarine,390.0,0.0398586791861918,0.1091482878856508,-0.0062583439055643,15
Vermont,450.0,0.0558924050723591,0.1195978922307056,0.0558481169500087,10
Wantirna,450.0,0.0723848651805995,0.0521847277787779,-0.0159470151475719,8
Warragul,373.0,0.2331656664840622,0.0972546902494567,0.218381315470564,22
Wendouree - Miners Rest,350.0,0.0702529869227498,0.1079758643496034,0.0002519577364221,8
Werribee - South,365.0,0.0486092795977655,0.1862593693284952,1.4910421297885983,41
West Footscray - Tottenham,400.0,0.0046520582745221,0.2119456288860391,0.0519688288630731,37
Williamstown,500.0,0.0463973943172213,0.1198015694751415,0.056361178469032,37
Wodonga,340.0,0.0760053933256978,0.1026364505559371,0.0603564552344101,28
Yarra - North,530.0,0.0329230788806601,0.149378343778735,0.0546007711810935,15
Yarraville,480.0,0.0862200985911941,0.1646527503325129,0.0665801770495531,51
